state,state_name,sector_name,ablated_var,diff_orig_pc,mean_diff_boot_pc,se,pval,sig
27,Maharashtra,Rural,Land_possessed_code,-0.002721356146811571,0.09974886338484244,0.1337395641254816,0.991991991991992,
27,Maharashtra,Rural,Dwelling_unit_code,-0.004168644245156061,0.11776621803568597,0.13452465038859995,0.980980980980981,
27,Maharashtra,Urban,HH_Size,0.23264058087438144,0.11068141327775288,0.18536537166774295,0.2732732732732733,
27,Maharashtra,Urban,hh_type_code,0.005260254082171678,0.10346489917696175,0.1854031684865963,0.982982982982983,
27,Maharashtra,Urban,Religion,-0.03320395589803948,0.10315650540132539,0.18092652517632163,0.8678678678678678,
27,Maharashtra,Urban,Social_Group,-0.09547174860470053,0.10253875933070425,0.17933596483699168,0.6386386386386387,
27,Maharashtra,Urban,Land_possessed_code,-0.03621320302739417,0.07718224052135347,0.16131593450138879,0.8538538538538538,
27,Maharashtra,Urban,Dwelling_unit_code,-0.06406587639425432,0.10850768721828191,0.18634781202860642,0.7477477477477478,
10,Bihar,All,HH_Size,0.2233690301552007,-0.07328691790316205,0.10323254845469128,0.07407407407407407,.
10,Bihar,All,hh_type_code,-0.22372926416028494,-0.04721375335384035,0.10071504953312344,0.04704704704704705,*
10,Bihar,All,Religion,7.605988672128028e-4,-0.07084096991288849,0.0995885954158104,0.995995995995996,
10,Bihar,All,Social_Group,0.02096936477672562,-0.06800864317267062,0.10083346032079368,0.8768768768768769,
10,Bihar,All,Land_possessed_code,0.007345246884276069,-0.0647801651082414,0.09894422627755298,0.95995995995996,
10,Bihar,All,Dwelling_unit_code,0.007138194218788807,-0.07103472673687405,0.10108597610515319,0.9669669669669669,
10,Bihar,Rural,HH_Size,0.2635015281035207,-0.0605304357611004,0.12328620330134624,0.05105105105105105,.
10,Bihar,Rural,hh_type_code,-0.04738241605359306,-0.03945878937640932,0.11835616458681485,0.6936936936936937,
10,Bihar,Rural,Religion,-5.16801261925659e-4,-0.05911037510853175,0.11841333366868505,0.998998998998999,
10,Bihar,Rural,Social_Group,0.030799074462415477,-0.0569292565342706,0.11763477029185929,0.8168168168168168,
10,Bihar,Rural,Land_possessed_code,0.09115467281894674,-0.0545883988859488,0.11985978345906793,0.4974974974974975,
10,Bihar,Rural,Dwelling_unit_code,0.009938126297394323,-0.059459650221106566,0.11888733949534512,0.944944944944945,
10,Bihar,Urban,HH_Size,0.3801839941449068,0.25882427566578636,0.3020992382577839,0.37237237237237236,
10,Bihar,Urban,hh_type_code,-0.011791172338188938,0.236649463706258,0.29940756661151174,0.974974974974975,
10,Bihar,Urban,Religion,-0.019719603259769736,0.2560350024149499,0.2989238070375667,0.964964964964965,
10,Bihar,Urban,Social_Group,-0.10103940831585523,0.23957591319386984,0.2964327570109973,0.7867867867867868,
10,Bihar,Urban,Land_possessed_code,-0.09089984822885333,0.18918034531050154,0.25826884125328864,0.8008008008008008,
10,Bihar,Urban,Dwelling_unit_code,-0.04073529211882343,0.25187525437890285,0.29848477964149955,0.9209209209209209,
19,West Bengal,All,HH_Size,0.30046217038265577,0.028383795573598353,0.10231121549958262,0.004004004004004004,**
19,West Bengal,All,hh_type_code,-0.29619501976036766,0.009386778019324464,0.09348304734944188,0.001001001001001001,**
19,West Bengal,All,Religion,0.003296411279077538,0.028452675051342958,0.1011971614454892,0.9619619619619619,
19,West Bengal,All,Social_Group,-0.004044835663062574,0.028643426199907753,0.1008018803625112,0.9679679679679679,
19,West Bengal,All,Land_possessed_code,-0.07249368257831545,0.021864188432088538,0.09810195712023964,0.44344344344344344,
19,West Bengal,All,Dwelling_unit_code,-0.012192165248914089,0.027969746549679878,0.10190567507697434,0.8968968968968969,
19,West Bengal,Rural,HH_Size,0.3872686709085911,0.17749395196444703,0.12927050941384866,0.05405405405405406,.
19,West Bengal,Rural,hh_type_code,-0.15943556764291478,0.13683100721861868,0.13378900797673338,0.4594594594594595,
19,West Bengal,Rural,Religion,0.008932279805814014,0.17468010935404235,0.12858260390820697,0.9719719719719719,
19,West Bengal,Rural,Social_Group,0.002575887844840863,0.16446940385697506,0.1283455457063486,0.995995995995996,
19,West Bengal,Rural,Land_possessed_code,-0.01687652850995147,0.13940273602214015,0.1270682817915494,0.9409409409409409,
19,West Bengal,Rural,Dwelling_unit_code,4.746577634139326e-4,0.17563742259415774,0.12797186285049372,0.997997997997998,
19,West Bengal,Urban,HH_Size,0.39100408413556054,0.21868557055133223,0.17138478182601344,0.14614614614614616,
19,West Bengal,Urban,hh_type_code,0.0011232735280483075,0.19609009157993207,0.1756936525430333,0.997997997997998,
19,West Bengal,Urban,Religion,-0.01488557365309695,0.21131263074500137,0.16663806809785842,0.965965965965966,
19,West Bengal,Urban,Social_Group,-0.06859131482901604,0.20837759187425564,0.16676734183130568,0.8518518518518519,
19,West Bengal,Urban,Land_possessed_code,-0.1121984970353418,0.1889142163406059,0.16062043262787198,0.7167167167167167,
19,West Bengal,Urban,Dwelling_unit_code,-0.0727477807428818,0.21010949863560835,0.17006848373492217,0.8398398398398398,
23,Madhya Pradesh,All,HH_Size,0.21176813499865166,0.02005869191071984,0.0903535731660001,0.02002002002002002,*
23,Madhya Pradesh,All,hh_type_code,-0.1490484060733014,0.007870048910798857,0.09079717837081173,0.09309309309309309,.
23,Madhya Pradesh,All,Religion,-0.002597691545249692,0.019080925206763424,0.08966662017064365,0.974974974974975,
23,Madhya Pradesh,All,Social_Group,-0.020418129695076837,0.02025116782366642,0.09196252315425282,0.8168168168168168,
23,Madhya Pradesh,All,Land_possessed_code,-0.0470128760074372,0.017192527296157382,0.08977127837650638,0.6156156156156156,
23,Madhya Pradesh,All,Dwelling_unit_code,-0.00537924562236658,0.0195839058659469,0.0889432830785419,0.960960960960961,
23,Madhya Pradesh,Rural,HH_Size,0.3955468738309076,0.0602956265090734,0.13242730093717495,0.007007007007007007,**
23,Madhya Pradesh,Rural,hh_type_code,-0.05760737504662228,0.050616337566515075,0.1287681699728828,0.6716716716716716,
23,Madhya Pradesh,Rural,Religion,-7.564527583406866e-4,0.060836019895063737,0.13167249629820557,0.996996996996997,
23,Madhya Pradesh,Rural,Social_Group,0.010658389068611052,0.054606437714618955,0.13461768037703675,0.948948948948949,
23,Madhya Pradesh,Rural,Land_possessed_code,-0.011504474994698088,0.05275381794047926,0.13176892397999862,0.9529529529529529,
23,Madhya Pradesh,Rural,Dwelling_unit_code,0.005173980277444201,0.061202429166506846,0.12738503993558534,0.9719719719719719,
23,Madhya Pradesh,Urban,HH_Size,0.3015478308649424,0.04874234618244554,0.17982998418265336,0.0990990990990991,.
23,Madhya Pradesh,Urban,hh_type_code,-0.0559857145205811,0.04824989490421651,0.18545477046918224,0.7757757757757757,
23,Madhya Pradesh,Urban,Religion,-0.024328787225205595,0.04481688914966069,0.17811184725628332,0.8818818818818819,
23,Madhya Pradesh,Urban,Social_Group,-0.13193392505375678,0.04743645397979423,0.18173190259096822,0.4854854854854855,
23,Madhya Pradesh,Urban,Land_possessed_code,-0.03617121254607203,0.03510623828777799,0.17179982740353558,0.8298298298298298,
23,Madhya Pradesh,Urban,Dwelling_unit_code,-0.0173425363451315,0.04874111579781509,0.17954768474773958,0.9309309309309309,
08,Rajasthan,All,HH_Size,0.25699873069564216,0.013593885070820596,0.10349214657749807,0.015015015015015015,*
08,Rajasthan,All,hh_type_code,-0.14538407490853,0.009301862428481982,0.0985140520216346,0.13713713713713713,
08,Rajasthan,All,Religion,-0.016345960949038618,0.011899864313884513,0.10296464395617413,0.8808808808808809,
08,Rajasthan,All,Social_Group,0.006884618281957966,0.01501892381838742,0.10670312029864984,0.9409409409409409,
08,Rajasthan,All,Land_possessed_code,-0.09665800929266088,0.007549432196163352,0.10507268310430445,0.3483483483483483,
08,Rajasthan,All,Dwelling_unit_code,-0.021029791303512457,0.011204797302438547,0.10341867430115387,0.8388388388388388,
08,Rajasthan,Rural,HH_Size,0.3212998868470026,0.08336119292129726,0.12888914499646295,0.03903903903903904,*
08,Rajasthan,Rural,hh_type_code,-0.15451476613963044,0.07931474921640681,0.12804303576043136,0.3153153153153153,
08,Rajasthan,Rural,Religion,-0.028904786351575118,0.0812587629134816,0.12945626935517127,0.8488488488488488,
08,Rajasthan,Rural,Social_Group,0.025709738370837787,0.07932443859529988,0.13529452301004682,0.8808808808808809,
08,Rajasthan,Rural,Land_possessed_code,-0.07545382209422413,0.05900064586392014,0.12786994677982214,0.5865865865865866,
08,Rajasthan,Rural,Dwelling_unit_code,-0.0014955156145267656,0.08296017785067238,0.129579545890081,0.992992992992993,
08,Rajasthan,Urban,HH_Size,0.32371294150705987,0.27349642829708326,0.21151359848510715,0.3943943943943944,
08,Rajasthan,Urban,hh_type_code,-0.012239488470972781,0.2544962587810536,0.21860805211028825,0.9769769769769769,
08,Rajasthan,Urban,Religion,0.003963196666617819,0.26469174892863184,0.2091284003069303,0.997997997997998,
08,Rajasthan,Urban,Social_Group,-0.07011853622209263,0.26151847621672253,0.2086243644252343,0.8598598598598599,
08,Rajasthan,Urban,Land_possessed_code,-0.14475564970855992,0.20754210150265426,0.1940625354168939,0.6486486486486487,
08,Rajasthan,Urban,Dwelling_unit_code,-0.1028069943362997,0.2719492659062519,0.21150106313029732,0.7997997997997998,
