state,state_name,sector_name,iop_total_wtd,iop_abs_wtd_none,iop_abs_wtd_HH_Size,iop_abs_wtd_hh_type_code,iop_abs_wtd_Religion,iop_abs_wtd_Social_Group,iop_abs_wtd_Land_possessed_code,iop_abs_wtd_Dwelling_unit_code,iop_rel_wtd_none,iop_rel_wtd_HH_Size,iop_rel_wtd_hh_type_code,iop_rel_wtd_Religion,iop_rel_wtd_Social_Group,iop_rel_wtd_Land_possessed_code,iop_rel_wtd_Dwelling_unit_code,diff_iop_abs_wtd_none,diff_iop_abs_wtd_HH_Size,diff_iop_abs_wtd_hh_type_code,diff_iop_abs_wtd_Religion,diff_iop_abs_wtd_Social_Group,diff_iop_abs_wtd_Land_possessed_code,diff_iop_abs_wtd_Dwelling_unit_code,diff_iop_rel_wtd_none,diff_iop_rel_wtd_HH_Size,diff_iop_rel_wtd_hh_type_code,diff_iop_rel_wtd_Religion,diff_iop_rel_wtd_Social_Group,diff_iop_rel_wtd_Land_possessed_code,diff_iop_rel_wtd_Dwelling_unit_code,pc_iop_abs_wtd_none,pc_iop_abs_wtd_HH_Size,pc_iop_abs_wtd_hh_type_code,pc_iop_abs_wtd_Religion,pc_iop_abs_wtd_Social_Group,pc_iop_abs_wtd_Land_possessed_code,pc_iop_abs_wtd_Dwelling_unit_code,pc_iop_rel_wtd_none,pc_iop_rel_wtd_HH_Size,pc_iop_rel_wtd_hh_type_code,pc_iop_rel_wtd_Religion,pc_iop_rel_wtd_Social_Group,pc_iop_rel_wtd_Land_possessed_code,pc_iop_rel_wtd_Dwelling_unit_code
10,Bihar,Rural,0.40971690050082543,0.19701413312213845,0.13759689782682472,0.18811888572599855,0.19688828153311988,0.1884444812858419,0.1900329304648949,0.19509624030661143,0.48085429934990326,0.33583407874713117,0.4591435830351342,0.4805471321599125,0.4599382672657465,0.4638152105334304,0.4761732798137732,0,0.05941723529531373,0.008895247396139894,1.258515890185663e-4,0.008569651836296543,0.006981202657243557,0.0019178928155270114,0,0.1450202206027721,0.021710716314769063,3.0716718999074244e-4,0.020916032084156766,0.01703908881647287,0.004681019536130038,0,30.158869495153507,4.515030092092584,0.06387947251507328,4.349765014565634,3.5435034769386706,0.9734798134192831,0,30.158869495153507,4.515030092092579,0.06387947251506762,4.3497650145656275,3.5435034769386626,0.9734798134192828
10,Bihar,Urban,0.42343656997138623,0.20460157206014173,0.12864222196230912,0.19693718094310952,0.2042750699907856,0.1991713531303958,0.19423025361936652,0.20324362247208683,0.48319296577045223,0.30380517670214957,0.4650925189489835,0.4824218890791353,0.4703688043379315,0.458699761412888,0.47998599290992044,0,0.07595935009783261,0.00766439111703221,3.2650206935613824e-4,0.0054302189297459336,0.010371318440775212,0.0013579495880549075,0,0.17938778906830266,0.01810044682146872,7.710766913169298e-4,0.012824161432520742,0.024493204357564247,0.003206972860531787,0,37.125496804836224,3.7460079313463415,0.1595794529184577,2.654045555500299,5.069031648362218,0.6637043764530529,0,37.125496804836224,3.746007931346335,0.1595794529184518,2.6540455555002933,5.069031648362219,0.6637043764530516
19,West Bengal,All,0.5347439181550726,0.32836777586999233,0.22957802138898842,0.2823351680235646,0.3250545243099623,0.3225767057692792,0.3273611835866177,0.32633336624166986,0.6140654708199367,0.4293232958704023,0.5279820086550083,0.6078695115064373,0.6032358570476231,0.6121830888999188,0.6102610149687295,0,0.09878975448100391,0.04603260784642771,0.0033132515600300394,0.005791070100713114,0.00100659228337463,0.0020344096283224644,0,0.18474217494953438,0.08608346216492835,0.006195959313499366,0.010829613772313618,0.0018823819200178837,0.0038044558512071447,0,30.08509413546013,14.018613039743883,1.0090063043645991,1.763592692787833,0.30654417313261606,0.6195521539628571,0,30.08509413546013,14.018613039743888,1.009006304364607,1.763592692787835,0.30654417313261656,0.619552153962868
19,West Bengal,Rural,0.46742470825756754,0.27451944442100285,0.16310939230424992,0.27554135701893756,0.27126081576216166,0.26664843582557296,0.2702099107700633,0.27370137065463496,0.587301953814844,0.34895329541366665,0.5894882152166944,0.5803305023676398,0.5704628598252026,0.5780822151600254,0.5855517815370082,0,0.11141005211675292,-0.0010219125979347154,0.0032586286588411895,0.007871008595429885,0.0043095336509395565,8.180737663678883e-4,0,0.2383486584011773,-0.002186261401850409,0.0069714514472041245,0.01683909398964134,0.00921973865481851,0.0017501722778358042,0,40.583665157756386,-0.37225508746386315,1.187030181309765,2.867195295411902,1.5698464128939655,0.29800212079450766,0,40.583665157756386,-0.3722550874638605,1.1870301813097632,2.867195295411894,1.569846412893967,0.29800212079450583
19,West Bengal,Urban,0.5594591037022383,0.30936072201120624,0.17676009467868425,0.28664913124544,0.30426027935823186,0.3002135144820386,0.30854805540116104,0.3104327479859421,0.5529639610187803,0.31594819622912335,0.5123683381833102,0.5438472219770486,0.5366138695310635,0.5515113676036989,0.5548801439312429,0,0.13260062733252198,0.022711590765766232,0.00510044265297438,0.009147207529167645,8.126666100451985e-4,-0.0010720259747358796,0,0.23701576478965697,0.040595622835470135,0.009116739041731714,0.016350091487716822,0.0014525934150814157,-0.0019161829124625385,0,42.86278699844729,7.341459063747443,1.6487040176967334,2.9568096006823703,0.2626922399074827,-0.34652943908536865,0,42.8627869984473,7.341459063747445,1.6487040176967487,2.956809600682371,0.2626922399074903,-0.34652943908535466
23,Madhya Pradesh,All,0.49959985347186375,0.3229200906794176,0.2512864862992501,0.2854922035639902,0.322004118325367,0.30645916216280966,0.3217807340993204,0.3230786981953315,0.6463574567433369,0.5029755003989447,0.5714417279749431,0.6445240447683628,0.6134092314742216,0.6440769184842091,0.6466749258434811,0,0.07163360438016753,0.03742788711542744,9.159723540506093e-4,0.016460928516607964,0.0011393565800972283,-1.586075159139e-4,0,0.14338195634439221,0.07491572876839381,0.0018334119749741085,0.03294822526911534,0.0022805382591277734,-3.174691001441854e-4,0,22.18307452764918,11.590448595712918,0.2836529471187194,5.097523812152564,0.3528292642616457,-0.04911664541533878,0,22.183074527649175,11.590448595712916,0.2836529471187243,5.097523812152569,0.3528292642616415,-0.049116645415332415
23,Madhya Pradesh,Rural,0.4728876854471764,0.2686535402945083,0.15717612359549094,0.26961067622823975,0.26858842577530595,0.24444348842644104,0.26466838314217966,0.26670751282063065,0.5681127856828448,0.33237516736529227,0.5701368094905834,0.5679750901555427,0.5169165870650408,0.5596855052207619,0.5639975855332842,0,0.11147741669901734,-9.571359337314789e-4,6.511451920232503e-5,0.02421005186806724,0.003985157152328611,0.0019460274738776207,0,0.23573761831755258,-0.002024023807738584,1.3769552730213963e-4,0.051196198617804,0.008427280462082964,0.004115200149560683,0,41.494862333402175,-0.35627147614813853,0.02423735757620912,9.011625844024708,1.483381588033394,0.7243632344261351,0,41.494862333402175,-0.3562714761481389,0.02423735757621369,9.011625844024717,1.483381588033399,0.724363234426137
23,Madhya Pradesh,Urban,0.4590485774285753,0.2524965993918613,0.175785832339443,0.23884331484282484,0.2511241099593917,0.23412202565714324,0.24954408675807827,0.25432902926309,0.5500433108980671,0.38293514234186693,0.5203007406770304,0.547053454268606,0.510015796081126,0.5436115021986002,0.5540351103749184,0,0.0767107670524183,0.01365328454903647,0.0013724894324695924,0.01837457373471807,0.0029525126337830443,-0.001832429871228669,0,0.1671081685562002,0.029742570221036768,0.002989856629461163,0.04002751481694111,0.006431808699466912,-0.003991799476851243,0,30.380910965603647,5.407314229942281,0.5435674919088956,7.277156911805259,1.1693276823902494,-0.72572457436737,0,30.38091096560364,5.407314229942267,0.5435674919088757,7.277156911805246,1.16932768239024,-0.7257245743673802
08,Rajasthan,All,0.5504966246785443,0.3194019244192532,0.22660484288689986,0.28937783102082903,0.3155641634289168,0.303721450788089,0.31650633368917624,0.3202424688233805,0.5802068715784843,0.4116371158846304,0.525666857975392,0.5732354192238446,0.5517226394720283,0.5749469106627061,0.5817337554256252,0,0.09279708153235333,0.030024093398424156,0.003837760990336392,0.015680473631164205,0.002895590730076947,-8.405444041272858e-4,0,0.16856975569385385,0.05454001360309224,0.006971452354639696,0.02848423210645601,0.0052599609157781835,-0.0015268838471409474,0,29.05338836047402,9.400097840053695,1.201545982327543,4.909323467501,0.9065664633492119,-0.2631619723818479,0,29.05338836047403,9.400097840053698,1.2015459823275585,4.909323467501016,0.9065664633492145,-0.2631619723818467
08,Rajasthan,Rural,0.5586339640137794,0.2972296804305188,0.18589591627278423,0.2969284711957698,0.2963860516101704,0.27843602849225135,0.2911107961203925,0.296989465810384,0.5320651796659954,0.3327687327442892,0.5315259907620756,0.5305550158114978,0.4984230219224254,0.5211118816134349,0.5316351760578925,0,0.11133376415773455,3.01209234748967e-4,8.436288203483855e-4,0.01879365193826743,0.006118884310126305,2.4021462013479322e-4,0,0.19929644692170623,5.391889039197961e-4,0.0015101638544976481,0.033642157743570045,0.010953298052560512,4.30003608102969e-4,0,37.45714896186494,0.10133888187501465,0.2838306117768728,6.322939186640443,2.0586383907769505,0.08081784422970721,0,37.45714896186494,0.1013388818750125,0.28383061177686075,6.322939186640432,2.058638390776945,0.0808178442297059
